                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1269,                 2.1411,                 1.2762,                0.94596,                0.27713,                0.38694,                0.28384,                 1.0786,                 2.3933,                 1.1952,              0.0005001,              0.0005001,              0.0005001
                      2,                 1.1618,                 1.3096,                 1.2998,                0.81669,                0.34665,                0.55532,                 0.3393,                 1.1937,                 2.3828,                 1.3527,              0.0010068,              0.0010068,              0.0010068
                      3,                 1.1591,                 1.2619,                 1.2916,                0.62827,                0.61695,                0.65804,                 0.4071,                 1.2207,                 1.9423,                 1.4378,              0.0015033,              0.0015033,              0.0015033
                      4,                 1.1775,                 1.1996,                 1.3037,                0.68642,                0.58138,                0.68133,                0.40737,                 1.3985,                 1.7227,                 1.6149,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1712,                 1.1257,                 1.2928,                0.81429,                 0.6244,                0.73341,                0.45577,                 1.3073,                  1.463,                 1.4073,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.1872,                 1.1123,                 1.2939,                0.68864,                 0.6168,                0.72117,                0.45834,                 1.2852,                 1.4314,                 1.4389,               0.001601,               0.001601,               0.001601
                      7,                  1.162,                 1.0677,                 1.2969,                0.84614,                0.67551,                0.74912,                0.50241,                  1.201,                 1.2002,                 1.3427,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1245,                 1.0436,                 1.2674,                 0.7438,                0.65796,                0.73161,                0.49859,                 1.1619,                 1.2306,                 1.2847,               0.001568,               0.001568,               0.001568
                      9,                 1.1205,                 1.0334,                 1.2571,                0.64868,                0.57019,                0.57748,                0.35103,                   1.48,                 1.7877,                 1.5332,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1417,                 1.0062,                 1.2571,                0.86146,                0.69733,                 0.7807,                0.49948,                 1.2511,                 1.1715,                 1.3717,               0.001535,               0.001535,               0.001535
                     11,                 1.1302,                0.98222,                 1.2664,                0.76127,                0.69225,                 0.7402,                0.47038,                 1.1728,                 1.1576,                 1.3052,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1189,                0.95355,                 1.2437,                0.85238,                0.68914,                0.78562,                0.53939,                 1.1074,                 1.0318,                 1.2275,               0.001502,               0.001502,               0.001502
