                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0685,                 2.7012,                 1.2662,                0.94205,                0.25746,                0.31119,                0.23702,                0.85968,                 2.8739,                 1.0116,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.0697,                 1.5344,                 1.2617,                0.94762,                0.28358,                 0.4932,                 0.3723,                0.94456,                 2.3554,                 1.0866,             0.00051165,             0.00051165,             0.00051165
                      3,                 1.0485,                 1.3429,                 1.2301,                0.67653,                0.24254,                0.43542,                0.28744,                   1.23,                 2.5726,                 1.3136,             0.00076798,             0.00076798,             0.00076798
                      4,                 1.0615,                 1.2672,                 1.2406,                0.67847,                0.31382,                0.54702,                 0.3463,                 1.2377,                 2.2582,                 1.4021,               0.001019,               0.001019,               0.001019
                      5,                 1.1037,                 1.2075,                 1.2395,                0.74176,                0.23507,                0.52845,                0.32868,                 1.3936,                 2.4836,                  1.592,              0.0012648,              0.0012648,              0.0012648
                      6,                 1.0679,                 1.2526,                 1.2358,                0.51985,                0.46794,                0.44155,                0.24328,                 1.5313,                 2.2927,                 1.5828,              0.0015053,              0.0015053,              0.0015053
                      7,                 1.1144,                 1.2444,                 1.2644,                 0.6227,                0.58814,                0.58449,                0.36339,                 1.4611,                 1.9325,                 1.5319,               0.001568,               0.001568,               0.001568
                      8,                 1.0981,                 1.1936,                 1.2405,                 0.6735,                0.59558,                0.63267,                0.38721,                 1.2986,                  1.829,                  1.401,               0.001568,               0.001568,               0.001568
                      9,                 1.0844,                 1.1196,                 1.2359,                 0.6734,                 0.5908,                0.61321,                 0.3607,                 1.4764,                 1.7378,                 1.5916,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0881,                 1.0782,                 1.2227,                0.63353,                0.62509,                0.61428,                0.37065,                 1.3136,                 1.6565,                 1.4266,               0.001535,               0.001535,               0.001535
                     11,                 1.0705,                  1.114,                 1.2256,                0.76225,                0.59363,                0.68441,                0.44204,                 1.2413,                 1.5357,                 1.3468,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.0288,                  1.052,                 1.2063,                0.76584,                0.62174,                0.68966,                0.43566,                  1.251,                 1.3915,                 1.3774,               0.001502,               0.001502,               0.001502
                     13,                 1.0544,                 1.0697,                 1.2131,                0.80528,                0.67246,                0.75096,                0.49225,                 1.2471,                 1.3212,                 1.3304,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.0275,                 1.0573,                 1.2167,                0.75812,                0.70285,                0.72576,                0.46793,                 1.3039,                 1.3447,                 1.3656,               0.001469,               0.001469,               0.001469
                     15,                0.99753,                 0.9807,                 1.1807,                0.84036,                0.64358,                0.72993,                0.44885,                 1.2733,                  1.372,                 1.3579,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.0331,                 1.0269,                 1.2097,                 0.7924,                0.64899,                0.72057,                0.40078,                 1.4245,                 1.5052,                 1.5122,               0.001436,               0.001436,               0.001436
